Date,XUU.TO,XEF.TO,XEC.TO,XIC.TO,ZAG.TO
2001-02-22,,,,6.785575,
2001-02-23,,,,6.705348,
2001-02-26,,,,6.832374,
2001-02-27,,,,6.772207,
2001-02-28,,,,6.812315,
2001-03-01,,,,6.845746,
2001-03-02,,,,6.785575,
2001-03-05,,,,6.865799,
2001-03-06,,,,6.905910,
2001-03-07,,,,7.006189,
2001-03-08,,,,6.939334,
2001-03-09,,,,6.865799,
2001-03-12,,,,6.698668,
2001-03-13,,,,6.732092,
2001-03-14,,,,6.618447,
2001-03-15,,,,6.631812,
2001-03-16,,,,6.531532,
2001-03-19,,,,6.651868,
2001-03-20,,,,6.544905,
2001-03-21,,,,6.498109,
2001-03-22,,,,6.464679,
2001-03-23,,,,6.471900,
2001-03-26,,,,6.505333,
2001-03-27,,,,6.558816,
2001-03-28,,,,6.391673,
2001-03-29,,,,6.331498,
2001-03-30,,,,6.498645,
2001-04-02,,,,6.478588,
2001-04-03,,,,6.351553,
2001-04-04,,,,6.311440,
2001-04-05,,,,6.445158,
2001-04-06,,,,6.364928,
2001-04-09,,,,6.431786,
2001-04-10,,,,6.585560,
2001-04-11,,,,6.552131,
2001-04-12,,,,6.618993,
2001-04-16,,,,6.585560,
2001-04-17,,,,6.605616,
2001-04-18,,,,6.859679,
2001-04-19,,,,6.893110,
2001-04-20,,,,6.832938,
2001-04-23,,,,6.746021,
2001-04-24,,,,6.685845,
2001-04-25,,,,6.752706,
2001-04-26,,,,6.746021,
2001-04-27,,,,6.732650,
2001-04-30,,,,6.685845,
2001-05-01,,,,6.705903,
2001-05-02,,,,6.712592,
2001-05-03,,,,6.672480,
2001-05-04,,,,6.712592,
2001-05-07,,,,6.725962,
2001-05-08,,,,6.766079,
2001-05-09,,,,6.792822,
2001-05-10,,,,6.839623,
2001-05-11,,,,6.772766,
2001-05-14,,,,6.766079,
2001-05-15,,,,6.819563,
2001-05-16,,,,6.859679,
2001-05-17,,,,6.966656,
2001-05-18,,,,6.993397,
2001-05-22,,,,7.060256,
2001-05-23,,,,7.046885,
2001-05-24,,,,7.040198,
2001-05-25,,,,6.966656,
2001-05-28,,,,7.000085,
2001-05-29,,,,6.973341,
2001-05-30,,,,6.866365,
2001-05-31,,,,6.919854,
2001-06-01,,,,6.966656,
2001-06-04,,,,7.020141,
2001-06-05,,,,7.033512,
2001-06-06,,,,6.966656,
2001-06-07,,,,6.966656,
2001-06-08,,,,6.933226,
2001-06-11,,,,6.879740,
2001-06-12,,,,6.906480,
2001-06-13,,,,6.846312,
2001-06-14,,,,6.779450,
2001-06-15,,,,6.665792,
2001-06-18,,,,6.585560,
2001-06-19,,,,6.572190,
2001-06-20,,,,6.558816,
2001-06-21,,,,6.612302,
2001-06-22,,,,6.618993,
2001-06-25,,,,6.604895,
2001-06-26,,,,6.497500,
2001-06-27,,,,6.430373,
2001-06-28,,,,6.477361,
2001-06-29,,,,6.598181,
2001-07-03,,,,6.625034,
2001-07-04,,,,6.618320,
2001-07-05,,,,6.571333,
2001-07-06,,,,6.484072,
2001-07-09,,,,6.517635,
2001-07-10,,,,6.490784,
2001-07-11,,,,6.470647,
2001-07-12,,,,6.578044,
2001-07-13,,,,6.625034,
2001-07-16,,,,6.578044,
2001-07-17,,,,6.578044,
2001-07-18,,,,6.544485,
2001-07-19,,,,6.510921,
2001-07-20,,,,6.544485,
2001-07-23,,,,6.544485,
2001-07-24,,,,6.510921,
2001-07-25,,,,6.578044,
2001-07-26,,,,6.571333,
2001-07-27,,,,6.598181,
2001-07-30,,,,6.591470,
2001-07-31,,,,6.645171,
2001-08-01,,,,6.651880,
2001-08-02,,,,6.685441,
2001-08-03,,,,6.678730,
2001-08-07,,,,6.678730,
2001-08-08,,,,6.598181,
2001-08-09,,,,6.631742,
2001-08-10,,,,6.611605,
2001-08-13,,,,6.578044,
2001-08-14,,,,6.551199,
2001-08-15,,,,6.510921,
2001-08-16,,,,6.517635,
2001-08-17,,,,6.477361,
2001-08-20,,,,6.490784,
2001-08-21,,,,6.443797,
2001-08-22,,,,6.531061,
2001-08-23,,,,6.551199,
2001-08-24,,,,6.631742,
2001-08-27,,,,6.659935,
2001-08-28,,,,6.551199,
2001-08-29,,,,6.497500,
2001-08-30,,,,6.430373,
2001-08-31,,,,6.450510,
2001-09-04,,,,6.484072,
2001-09-05,,,,6.463936,
2001-09-06,,,,6.443797,
2001-09-07,,,,6.396812,
2001-09-10,,,,6.376673,
2001-09-11,,,,6.081336,
2001-09-13,,,,6.188732,
2001-09-14,,,,6.007501,
2001-09-17,,,,6.007501,
2001-09-18,,,,5.926950,
2001-09-19,,,,5.826266,
2001-09-20,,,,5.698737,
2001-09-21,,,,5.624901,
2001-09-24,,,,5.758684,
2001-09-25,,,,5.826118,
2001-09-26,,,,5.772173,
2001-09-27,,,,5.751942,
2001-09-28,,,,5.954239,
2001-10-01,,,,5.927265,
2001-10-02,,,,5.934009,
2001-10-03,,,,6.048642,
2001-10-04,,,,6.048642,
2001-10-05,,,,5.974468,
2001-10-09,,,,5.954239,
2001-10-10,,,,6.048642,
2001-10-11,,,,6.116075,
2001-10-12,,,,6.075614,
2001-10-15,,,,6.041901,
2001-10-16,,,,6.095846,
2001-10-17,,,,6.055386,
2001-10-18,,,,5.947495,
2001-10-19,,,,5.960981,
2001-10-22,,,,5.954239,
2001-10-23,,,,5.981210,
2001-10-24,,,,5.947495,
2001-10-25,,,,5.940751,
2001-10-26,,,,6.095846,
2001-10-29,,,,5.981210,
2001-10-30,,,,5.907033,
