Date,SPY,EFA,EEM,AGG
1999-01-04,76.272179,,,
1999-01-05,77.143944,,,
1999-01-06,79.003769,,,
1999-01-07,78.616333,,,
1999-01-08,79.197517,,,
1999-01-11,78.441986,,,
1999-01-12,77.027748,,,
1999-01-13,76.485275,,,
1999-01-14,75.148575,,,
1999-01-15,77.105240,,,
1999-01-19,77.608948,,,
1999-01-20,78.228889,,,
1999-01-21,76.155907,,,
1999-01-22,75.981560,,,
1999-01-25,76.756500,,,
1999-01-26,78.151405,,,
1999-01-27,77.240852,,,
1999-01-28,78.538841,,,
1999-01-29,79.139427,,,
1999-02-01,78.674477,,,
1999-02-02,78.190147,,,
1999-02-03,78.984421,,,
1999-02-04,77.802643,,,
1999-02-05,76.911507,,,
1999-02-08,77.066475,,,
1999-02-09,75.342278,,,
1999-02-10,75.826622,,,
1999-02-11,77.570198,,,
1999-02-12,76.640289,,,
1999-02-16,76.175316,,,
1999-02-17,76.097801,,,
1999-02-18,76.698402,,,
1999-02-19,77.027748,,,
1999-02-22,79.081314,,,
1999-02-23,79.042557,,,
1999-02-24,77.647705,,,
1999-02-25,76.911507,,,
1999-02-26,76.601547,,,
1999-03-01,76.814629,,,
1999-03-02,76.136597,,,
1999-03-03,76.543411,,,
1999-03-04,77.512062,,,
1999-03-05,79.071602,,,
1999-03-08,79.584984,,,
1999-03-09,79.391281,,,
1999-03-10,80.088722,,,
1999-03-11,80.979858,,,
1999-03-12,80.204903,,,
1999-03-15,81.347984,,,
1999-03-16,81.037971,,,
1999-03-17,80.689255,,,
1999-03-18,81.987282,,,
1999-03-19,80.593651,,,
1999-03-22,80.749039,,,
1999-03-23,78.418602,,,
1999-03-24,78.865288,,,
1999-03-25,80.477142,,,
1999-03-26,79.894554,,,
1999-03-29,81.506409,,,
1999-03-30,81.079178,,,
1999-03-31,79.778046,,,
1999-04-01,80.380035,,,
1999-04-05,82.283226,,,
1999-04-06,82.089050,,,
1999-04-07,82.749313,,,
1999-04-08,83.797997,,,
1999-04-09,83.817436,,,
1999-04-12,84.710770,,,
1999-04-13,84.167007,,,
1999-04-14,82.749313,,,
1999-04-15,82.438591,,,
1999-04-16,81.739471,,,
1999-04-19,80.477142,,,
1999-04-20,81.487030,,,
1999-04-21,83.817436,,,
1999-04-22,84.613663,,,
1999-04-23,84.400024,,,
1999-04-26,84.885521,,,
1999-04-27,85.293373,,,
1999-04-28,84.128105,,,
1999-04-29,83.487267,,,
1999-04-30,82.807602,,,
1999-05-03,84.322357,,,
1999-05-04,83.118294,,,
1999-05-05,83.778603,,,
1999-05-06,83.263954,,,
1999-05-07,83.895103,,,
1999-05-10,83.477554,,,
1999-05-11,84.322357,,,
1999-05-12,84.982635,,,
1999-05-13,85.351608,,,
1999-05-14,83.137756,,,
1999-05-17,83.390198,,,
1999-05-18,83.234779,,,
1999-05-19,83.836823,,,
1999-05-20,83.331909,,,
1999-05-21,82.865845,,,
1999-05-24,81.487030,,,
1999-05-25,80.166420,,,
1999-05-26,81.059792,,,
1999-05-27,79.894554,,,
1999-05-28,80.914108,,,
1999-06-01,80.632523,,,
1999-06-02,80.710220,,,
1999-06-03,81.156860,,,
1999-06-04,82.788155,,,
1999-06-07,83.001755,,,
1999-06-08,82.186142,,,
1999-06-09,82.108505,,,
1999-06-10,81.351051,,,
1999-06-11,80.671333,,,
1999-06-14,80.749039,,,
1999-06-15,81.292801,,,
1999-06-16,82.846443,,,
1999-06-17,83.623215,,,
1999-06-18,83.719841,,,
1999-06-21,83.914650,,,
1999-06-22,83.330284,,,
1999-06-23,82.921196,,,
1999-06-24,82.297882,,,
1999-06-25,82.093346,,,
1999-06-28,83.096504,,,
1999-06-29,83.875687,,,
1999-06-30,85.395027,,,
1999-07-01,86.037796,,,
1999-07-02,86.894829,,,
1999-07-06,86.875397,,,
1999-07-07,86.992271,,,
1999-07-08,87.060448,,,
1999-07-09,87.576607,,,
1999-07-12,87.187080,,,
1999-07-13,86.875397,,,
1999-07-14,87.362366,,,
1999-07-15,87.917496,,,
1999-07-16,88.394791,,,
1999-07-19,87.810387,,,
1999-07-20,86.008621,,,
1999-07-21,85.911201,,,
1999-07-22,84.781456,,,
1999-07-23,84.615837,,,
1999-07-26,83.992538,,,
1999-07-27,84.693779,,,
